audio_time,solenoid,state
140.583333,52,1
140.633333,51,0
140.633333,52,0
140.816667,51,1
140.866667,51,0
141.066667,51,1
141.116667,51,0
141.300000,51,1
141.350000,51,0
141.550000,51,1
141.600000,51,0
141.783333,51,1
141.833333,51,0
141.916667,53,1
141.933333,17,1
141.933333,18,1
141.983333,53,0
142.033333,51,1
142.083333,51,0
142.083333,54,1
142.150000,54,0
142.266667,6,1
142.400000,6,0
142.450000,54,1
142.516667,54,0
142.666667,9,1
142.733333,9,0
142.800000,10,1
142.866667,10,0
142.933333,14,1
143.066667,14,0
143.133333,12,1
143.200000,12,0
143.266667,13,1
143.400000,13,0
143.433333,53,1
143.500000,53,0
143.600000,54,1
143.666667,54,0
143.800000,6,1
143.933333,6,0
144.000000,9,1
144.066667,9,0
144.133333,10,1
144.266667,10,0
144.333333,14,1
144.400000,14,0
144.466667,12,1
144.600000,12,0
144.666667,13,1
144.800000,1,1
144.800000,13,0
144.933333,1,0
144.933333,2,1
145.066667,2,0
145.100000,54,1
145.166667,54,0
145.266667,54,1
145.333333,54,0
148.733333,17,0
148.733333,18,0
150.750000,33,1
150.750000,34,1
150.783333,33,0
150.883333,34,0
151.016667,33,1
151.016667,34,1
151.050000,33,0
151.166667,34,0
151.283333,33,1
151.283333,34,1
151.316667,33,0
151.416667,34,0
151.600000,5,1
151.733333,5,0
151.733333,16,1
151.866667,16,0
151.933333,3,1
152.066667,3,0
152.066667,4,1
152.200000,4,0
152.266667,15,1
153.700000,52,1
153.916667,52,0
154.066667,15,0
154.100000,52,1
154.150000,52,0
154.350000,52,1
154.400000,52,0
154.583333,52,1
154.633333,52,0
154.833333,52,1
154.883333,52,0
155.066667,52,1
155.116667,52,0
155.166667,51,1
155.316667,52,1
155.366667,52,0
155.383333,51,0
155.550000,51,1
155.600000,51,0
155.800000,51,1
155.850000,51,0
156.033333,51,1
156.083333,51,0
156.283333,51,1
156.333333,51,0
156.516667,51,1
156.566667,51,0
156.650000,53,1
156.666667,17,1
156.666667,18,1
156.716667,53,0
156.766667,51,1
156.816667,51,0
156.816667,54,1
156.883333,54,0
157.000000,6,1
157.133333,6,0
157.183333,54,1
157.250000,54,0
157.400000,9,1
157.466667,9,0
157.533333,10,1
157.600000,10,0
157.733333,14,1
157.800000,14,0
157.866667,12,1
157.933333,12,0
158.066667,13,1
158.133333,13,0
158.166667,53,1
158.233333,53,0
158.333333,54,1
158.400000,54,0
158.533333,6,1
158.666667,6,0
158.733333,9,1
158.800000,9,0
158.866667,10,1
159.000000,10,0
159.066667,14,1
159.133333,14,0
159.200000,12,1
159.333333,12,0
159.400000,13,1
159.533333,1,1
159.533333,13,0
159.666667,1,0
159.733333,2,1
159.866667,2,0
159.866667,54,1
159.933333,54,0
160.033333,54,1
160.100000,54,0
163.533333,17,0
163.533333,18,0
165.500000,33,1
165.500000,34,1
165.533333,33,0
165.633333,34,0
165.750000,33,1
165.750000,34,1
165.783333,33,0
165.900000,34,0
166.033333,33,1
166.033333,34,1
166.066667,33,0
166.166667,34,0
166.333333,5,1
166.466667,5,0
166.533333,16,1
166.600000,16,0
166.666667,3,1
166.800000,3,0
166.866667,4,1
166.933333,4,0
167.000000,15,1
168.450000,52,1
168.650000,52,0
168.800000,15,0
168.833333,52,1
168.883333,52,0
169.083333,52,1
169.133333,52,0
169.316667,52,1
169.366667,52,0
169.566667,52,1
169.616667,52,0
169.800000,52,1
169.850000,52,0
169.916667,51,1
170.033333,52,1
170.100000,52,0
170.116667,51,0
170.283333,51,1
170.333333,51,0
170.516667,51,1
170.583333,51,0
170.766667,51,1
170.816667,51,0
171.000000,51,1
171.066667,51,0
171.250000,51,1
171.300000,51,0
171.400000,17,1
171.400000,18,1
171.400000,53,1
171.466667,53,0
171.483333,51,1
171.550000,51,0
171.566667,54,1
171.633333,54,0
171.733333,6,1
171.916667,54,1
171.933333,6,0
171.983333,54,0
172.133333,9,1
172.266667,9,0
172.266667,10,1
172.333333,10,0
172.466667,14,1
172.533333,14,0
172.600000,12,1
172.666667,12,0
172.733333,13,1
172.866667,13,0
172.900000,53,1
172.966667,53,0
173.066667,54,1
173.133333,54,0
173.266667,6,1
173.400000,6,0
173.466667,9,1
173.533333,9,0
173.666667,10,1
173.733333,10,0
173.800000,14,1
173.866667,14,0
173.933333,12,1
174.066667,12,0
174.133333,13,1
174.200000,13,0
174.266667,1,1
174.400000,1,0
174.466667,2,1
174.533333,2,0
174.600000,54,1
174.666667,54,0
174.766667,54,1
174.833333,54,0
178.200000,17,0
178.266667,18,0
180.250000,33,1
180.250000,34,1
180.283333,33,0
180.366667,34,0
180.500000,33,1
180.500000,34,1
180.533333,33,0
180.650000,34,0
180.783333,33,1
180.783333,34,1
180.816667,33,0
180.916667,34,0
181.066667,5,1
181.200000,5,0
181.266667,16,1
181.333333,16,0
181.400000,3,1
181.533333,3,0
181.600000,4,1
181.666667,4,0
181.733333,15,1
183.183333,52,1
183.400000,52,0
183.533333,15,0
183.566667,52,1
183.616667,52,0
183.800000,52,1
183.866667,52,0
184.050000,52,1
184.100000,52,0
184.283333,52,1
184.350000,52,0
184.533333,52,1
184.583333,52,0
184.666667,51,1
184.766667,52,1
184.833333,52,0
184.866667,51,0
185.016667,51,1
185.066667,51,0
185.250000,51,1
185.316667,51,0
185.500000,51,1
185.550000,51,0
185.733333,51,1
185.800000,51,0
185.983333,51,1
186.033333,51,0
186.150000,53,1
186.200000,17,1
186.200000,18,1
186.216667,51,1
186.216667,53,0
186.283333,51,0
186.316667,54,1
186.383333,54,0
186.533333,6,1
186.666667,6,0
186.683333,54,1
186.750000,54,0
186.866667,9,1
187.000000,9,0
187.066667,10,1
187.133333,10,0
187.200000,14,1
187.333333,12,1
187.333333,14,0
187.466667,12,0
187.533333,13,1
187.666667,13,0
187.666667,53,1
187.733333,53,0
187.833333,54,1
187.900000,54,0
188.000000,6,1
188.133333,6,0
188.200000,9,1
188.266667,9,0
188.400000,10,1
188.466667,10,0
188.533333,14,1
188.600000,14,0
188.733333,12,1
188.800000,12,0
188.866667,13,1
189.000000,13,0
189.066667,1,1
189.133333,1,0
189.200000,2,1
189.333333,2,0
189.366667,54,1
189.433333,54,0
189.533333,54,1
189.600000,54,0
193.000000,18,0
193.066667,17,0
195.000000,33,1
195.000000,34,1
195.033333,33,0
195.116667,34,0
195.250000,33,1
195.250000,34,1
195.283333,33,0
195.400000,34,0
195.533333,33,1
195.533333,34,1
195.566667,33,0
195.650000,34,0
195.866667,5,1
195.933333,5,0
196.000000,16,1
196.066667,16,0
196.133333,3,1
196.266667,3,0
196.333333,4,1
196.400000,4,0
196.466667,15,1
197.933333,52,1
198.183333,52,0
198.266667,15,0
198.350000,52,1
198.416667,52,0
198.600000,52,1
198.666667,52,0
198.833333,52,1
