Ref,Val,Package,PosX,PosY,Rot,Side
"J113","34-pin ribbon to CPU J211","3M_N2534_6002_RB",8.220000,-128.459000,180.000000,top
"J114","J114 +12V/+5V/GND to CPU J210, Fliptronic J904, 8-driver","Molex_KK-396_A-41791-0007_1x07_P3.96mm_Vertical",7.610000,-187.249000,90.000000,top
"J115","J115 G.I. 6.3VAC from transformer: 2-6 string hot ends (one fuse each), 7/8/10/11/12 winding return ends (triac MT1), 1 = GND REF","Molex_KK-396_A-41791-0012_1x12_P3.96mm_Vertical",7.610000,-245.602000,90.000000,top
"J116","J116 +12V power (unregulated) / GND / +5V to coin door","Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",27.987000,-247.713000,180.000000,top
"J117","J117 +12V power (unregulated) / GND / +5V to DMD controller","Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",27.987000,-265.300000,180.000000,top
"J118","J118 +12V power (unregulated) / GND / +5V to playfield boards (optos, gun motors)","Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical",47.267000,-247.713000,180.000000,top
"J119","J119 G.I. coin door (string 5)","Molex_KK-396_A-41791-0003_1x03_P3.96mm_Vertical",46.545000,-265.300000,180.000000,top
"J120","J120 G.I. strings 1-5 (backbox harness uses strings 2,3)","Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical",109.999000,-247.713000,180.000000,top
"J121","J121 G.I. strings 1-5 (playfield harness uses strings 1,4,5)","Molex_KK-396_A-41791-0011_1x11_P3.96mm_Vertical",99.018000,-265.300000,180.000000,top
"J122","J122 Sol 25-28 drive + tie-back (playfield)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",144.349000,-265.300000,180.000000,top
"J123","J123 Sol 25-28 drive (backbox, parallel to J122/J124; N/C on STTNG)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",137.100000,-247.713000,180.000000,top
"J124","J124 Sol 25-28 drive (backbox)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",160.823000,-247.713000,180.000000,top
"J125","J125 Sol 17-24 drive (backbox flashers)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",218.202000,-247.713000,180.000000,top
"J126","J126 Sol 17-24 drive (playfield flashers) + tie-back cathodes of sol 21-24 on pins 10-13 (A-12697 D9-D12; N/C on STTNG)","Molex_KK-396_A-41791-0013_1x13_P3.96mm_Vertical",222.936000,-265.300000,180.000000,top
"J127","J127 Sol 9-16 drive (playfield)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",268.331000,-247.713000,180.000000,top
"J128","J128 Sol 13-16 drive (cabinet, parallel to J127; N/C on STTNG)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",252.867000,-265.300000,180.000000,top
"J129","J129 Sol 9-12 drive (backbox, parallel to J127; N/C on STTNG)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",275.500000,-265.300000,180.000000,top
"J130","J130 Sol 1-8 drive (playfield)","Molex_KK-396_A-41791-0009_1x09_P3.96mm_Vertical",322.317000,-247.713000,180.000000,top
"J131","J131 Sol 5-8 drive (cabinet, parallel to J130; N/C on STTNG)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",314.313000,-265.300000,180.000000,top
"J132","J132 Sol 1-4 drive (backbox, parallel to J130; N/C on STTNG)","Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical",339.461000,-265.300000,180.000000,top
"J133","J133 lamp rows (cabinet)","Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical",369.365000,-244.779000,180.000000,top
