Designator,Mid X,Mid Y,Layer,Rotation
R99,265.904000,-220.080000,Top,0.000000
R126,286.861000,-140.617000,Top,0.000000
R127,286.861000,-144.520000,Top,0.000000
R128,286.861000,-166.129000,Top,0.000000
R129,286.861000,-170.079000,Top,0.000000
R130,286.861000,-191.712000,Top,0.000000
R131,286.861000,-195.662000,Top,0.000000
R132,286.861000,-217.279000,Top,0.000000
R133,286.861000,-221.229000,Top,0.000000
R134,311.422000,-140.617000,Top,0.000000
R135,311.422000,-144.520000,Top,0.000000
R136,311.422000,-166.129000,Top,0.000000
R137,311.422000,-170.079000,Top,0.000000
R138,311.422000,-191.712000,Top,0.000000
R139,311.422000,-195.662000,Top,0.000000
R140,311.422000,-217.279000,Top,0.000000
R141,311.422000,-221.229000,Top,0.000000
R142,329.232000,-172.686000,Top,270.000000
R143,346.044000,-149.382000,Top,270.000000
R144,362.453000,-174.531000,Top,270.000000
R145,364.852000,-149.382000,Top,270.000000
R146,368.802000,-149.382000,Top,270.000000
R147,366.369000,-164.879000,Top,270.000000
R148,399.528000,-172.686000,Top,270.000000
R149,399.457000,-149.634000,Top,270.000000
R150,340.382000,-201.607000,Top,270.000000
R151,340.389000,-222.145000,Top,270.000000
R152,334.308000,-201.607000,Top,270.000000
R153,334.308000,-222.145000,Top,270.000000
R154,349.853000,-191.802000,Top,0.000000
R155,349.564000,-174.942000,Top,0.000000
R156,349.624000,-204.750000,Top,0.000000
R157,350.021000,-187.852000,Top,0.000000
R158,350.145000,-225.486000,Top,0.000000
R159,349.594000,-208.652000,Top,0.000000
R160,349.564000,-238.448000,Top,0.000000
R161,350.021000,-221.584000,Top,0.000000
R162,370.102000,-169.559000,Top,0.000000
R164,371.731000,-191.791000,Top,0.000000
R165,373.246000,-174.965000,Top,0.000000
R166,371.671000,-204.713000,Top,0.000000
R167,371.731000,-187.890000,Top,0.000000
R168,371.731000,-225.472000,Top,0.000000
R169,371.731000,-208.615000,Top,0.000000
R170,371.611000,-238.447000,Top,0.000000
R171,371.701000,-221.570000,Top,0.000000
R172,391.311000,-201.607000,Top,270.000000
R173,391.311000,-222.145000,Top,270.000000
R174,385.201000,-201.607000,Top,270.000000
R175,385.201000,-222.145000,Top,270.000000
R176,406.819000,-175.019000,Top,0.000000
R177,406.819000,-187.979000,Top,0.000000
R178,406.819000,-191.880000,Top,0.000000
R179,406.819000,-204.818000,Top,0.000000
R180,406.819000,-208.718000,Top,0.000000
R181,406.819000,-221.709000,Top,0.000000
R182,406.819000,-225.610000,Top,0.000000
R183,406.819000,-238.523000,Top,0.000000
R184,428.615000,-183.005000,Top,0.000000
R185,428.615000,-196.001000,Top,0.000000
R186,428.615000,-199.901000,Top,0.000000
R187,428.615000,-212.822000,Top,0.000000
R188,428.615000,-216.772000,Top,0.000000
R189,428.615000,-229.692000,Top,0.000000
R190,428.615000,-233.593000,Top,0.000000
R191,428.799000,-246.589000,Top,0.000000
R192,176.794000,-88.439000,Top,0.000000
R193,23.723000,-120.294000,Top,0.000000
R194,341.063000,-43.625000,Top,0.000000
R196,343.000000,-93.050000,Top,0.000000
R197,53.483000,-69.158000,Top,0.000000
R206,81.168000,-69.997000,Top,0.000000
R250,41.327000,-63.710000,Top,0.000000
R251,412.899000,-155.078000,Top,270.000000
R253,257.185000,-121.551000,Top,270.000000
R254,217.618000,-121.551000,Top,270.000000
R255,186.770000,-121.551000,Top,270.000000
R256,167.489000,-121.551000,Top,270.000000
R259,300.525000,-71.450000,Top,0.000000
R260,300.525000,-77.360000,Top,0.000000
R261,266.078000,-57.608000,Top,0.000000
R262,260.750000,-52.515000,Top,0.000000
R263,259.604000,-56.465000,Top,0.000000
R264,275.378000,-73.769000,Top,270.000000
R265,271.455000,-74.148000,Top,270.000000
