Designator,Parent,Quantity_per_board,Value,MPN,Manufacturer,Footprint,JLCPCB_part,Library,Assembly,Assembly_note
D38,D38,1,M7,M7,MDD(Microdiode Semiconductor),Diode_SMD:D_SMA,C95872,Basic,SMT,
D101,D101,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
D102,D102,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
D103,D103,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
D104,D104,1,MBR40100A,MBR40100A,MOT,wpc_cost:TO220_Schottky_AKA_5772,C5143116,Extended,Through-hole/manual,
D105,D105,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D106,D106,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D107,D107,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D108,D108,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D109,D109,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D110,D110,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D111,D111,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D112,D112,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D113,D113,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D114,D114,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D115,D115,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
D116,D116,1,MBRB20H100CTT4G,MBRB20H100CTT4G,onsemi,wpc_cost:D2PAK_Schottky_AKA,C235758,Extended,SMT,
F101,F101,1,Empty fuse holder,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,
F102,F102,1,Empty fuse holder,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,
F103,F103,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F103_HOLDER,F103,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F104,F104,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F104_HOLDER,F104,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F105,F105,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F105_HOLDER,F105,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F106,F106,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F106_HOLDER,F106,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F107,F107,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F107_HOLDER,F107,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F108,F108,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F108_HOLDER,F108,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F109,F109,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F109_HOLDER,F109,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F110,F110,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F110_HOLDER,F110,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F111,F111,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F111_HOLDER,F111,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F112,F112,1,7A T 125VAC,TA7,TLC Electronic,wpc_cost:TLC_TA_2410_Fuse,C3014110,Extended,SMT,TLC TA7 soldered 2410 time-lag 7 A fuse; replacement requires desoldering. No holder. Do not up-rate.
F113,F113,1,5A T,5.250.1500A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381754,Extended,Through-hole/manual,
F113_HOLDER,F113,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F114,F114,1,8A,0217008.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C2936126,Extended,Through-hole/manual,
F114_HOLDER,F114,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F115,F115,1,0.75A T,5.250.0750A,Reomax,wpc_cost:HONGJU_FH1_200CK_G,C5381743,Extended,Through-hole/manual,
F115_HOLDER,F115,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
F116,F116,1,3A S.B.,0239003.MXP,Littelfuse,wpc_cost:HONGJU_FH1_200CK_G,C142824,Extended,Through-hole/manual,
F116_HOLDER,F116,1,5x20 holder with cover,FH1-200CK-G,HONGJU,wpc_cost:HONGJU_FH1_200CK_G,C268204,Extended,Through-hole/manual,Fit holder before inserting the separately listed cartridge.
J101,J101,1,J101 xformer 9VAC (Red) / 13VAC (Blu-Wht),640445-7,TE Connectivity,wpc_cost:TE_J101_Prepared,C305801,Extended,Through-hole/manual,
J102,J102,1,J102 xformer 16VAC (Wht-Red) / solenoid ~51VAC (Blk-Yel),640445-9,TE Connectivity,wpc_cost:TE_J102_Prepared,C305802,Extended,Through-hole/manual,
J103,J103,1,"J103 ground to 8-driver board (all four pins grounded as on A-12697 sheet 1, no key)",26604040,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,C240824,Extended,Through-hole/manual,
J104,J104,1,"J104 fused 51VAC (F112, pins 1/2) to Fliptronic II J901 and fused 16VAC (F111, pins 4/5), as A-12697 sheet 1",26604050,MOLEX,Connector_Molex:Molex_KK-396_A-41791-0005_1x05_P3.96mm_Vertical,C505166,Extended,Through-hole/manual,
