 time            v(vout)         v(vinf)         v(en)           i(L1)          
 1.99000000e-04  8.59271413e-10  1.07476572e-01  3.51069100e-02  1.08550294e-08 
 2.00000000e-04  8.78950596e-10  1.09049644e-01  3.53154673e-02  1.10139090e-08 
 2.01000000e-04  8.98873312e-10  1.10626466e-01  3.55244265e-02  1.11731675e-08 
 2.02000000e-04  9.19039978e-10  1.12206984e-01  3.57337716e-02  1.13327991e-08 
 2.03000000e-04  9.39451005e-10  1.13791143e-01  3.59434862e-02  1.14927985e-08 
 2.04000000e-04  9.60106798e-10  1.15378893e-01  3.61535533e-02  1.16531605e-08 
 2.05000000e-04  9.81007762e-10  1.16970182e-01  3.63639552e-02  1.18138801e-08 
 2.06000000e-04  1.00215430e-09  1.18564963e-01  3.65746736e-02  1.19749523e-08 
 2.07000000e-04  1.02354679e-09  1.20163189e-01  3.67856892e-02  1.21363724e-08 
 2.08000000e-04  1.04518564e-09  1.21764814e-01  3.69969819e-02  1.22981357e-08 
 2.09000000e-04  1.06707124e-09  1.23369793e-01  3.72085306e-02  1.24602379e-08 
 2.10000000e-04  1.08920396e-09  1.24978085e-01  3.74203131e-02  1.26226746e-08 
 2.11000000e-04  1.11158418e-09  1.26589647e-01  3.76323058e-02  1.27854415e-08 
 2.12000000e-04  1.13421229e-09  1.28204438e-01  3.78444840e-02  1.29485347e-08 
 2.13000000e-04  1.15708865e-09  1.29822420e-01  3.80568214e-02  1.31119501e-08 
 2.14000000e-04  1.18021364e-09  1.31443555e-01  3.82692904e-02  1.32756839e-08 
 2.15000000e-04  1.20358763e-09  1.33067806e-01  3.84818614e-02  1.34397324e-08 
 2.16000000e-04  1.22721096e-09  1.34695136e-01  3.86945032e-02  1.36040919e-08 
 2.17000000e-04  1.25108402e-09  1.36325511e-01  3.89071823e-02  1.37687589e-08 
 2.18000000e-04  1.27520714e-09  1.37958898e-01  3.91198636e-02  1.39337300e-08 
 2.19000000e-04  1.29958070e-09  1.39595262e-01  3.93325092e-02  1.40990019e-08 
 2.20000000e-04  1.32420503e-09  1.41234572e-01  3.95450793e-02  1.42645713e-08 
 2.21000000e-04  1.34908050e-09  1.42876796e-01  3.97575312e-02  1.44304351e-08 
 2.22000000e-04  1.37420743e-09  1.44521905e-01  3.99698197e-02  1.45965901e-08 
 2.23000000e-04  1.39958619e-09  1.46169869e-01  4.01818967e-02  1.47630335e-08 
 2.24000000e-04  1.42521709e-09  1.47820658e-01  4.03937110e-02  1.49297622e-08 
 2.25000000e-04  1.45110050e-09  1.49474246e-01  4.06052086e-02  1.50967736e-08 
 2.26000000e-04  1.47723673e-09  1.51130604e-01  4.08163320e-02  1.52640648e-08 
 2.27000000e-04  1.50362613e-09  1.52789707e-01  4.10270205e-02  1.54316331e-08 
 2.28000000e-04  1.53026902e-09  1.54451527e-01  4.12372098e-02  1.55994760e-08 
 2.29000000e-04  1.55716573e-09  1.56116041e-01  4.14468325e-02  1.57675908e-08 
 2.30000000e-04  1.58431659e-09  1.57783224e-01  4.16558174e-02  1.59359752e-08 
 2.31000000e-04  1.61172191e-09  1.59453051e-01  4.18640897e-02  1.61046266e-08 
 2.32000000e-04  1.63938203e-09  1.61125499e-01  4.20715714e-02  1.62735427e-08 
 2.33000000e-04  1.66729725e-09  1.62800546e-01  4.22781808e-02  1.64427213e-08 
 2.34000000e-04  1.69546790e-09  1.64478168e-01  4.24838330e-02  1.66121601e-08 
 2.35000000e-04  1.72389429e-09  1.66158346e-01  4.26884399e-02  1.67818568e-08 
 2.36000000e-04  1.75257673e-09  1.67841056e-01  4.28919108e-02  1.69518094e-08 
 2.37000000e-04  1.78151553e-09  1.69526279e-01  4.30941519e-02  1.71220158e-08 
 2.38000000e-04  1.81071100e-09  1.71213995e-01  4.32950673e-02  1.72924739e-08 
 2.39000000e-04  1.84016345e-09  1.72904184e-01  4.34945593e-02  1.74631817e-08 
 2.40000000e-04  1.86987318e-09  1.74596826e-01  4.36925287e-02  1.76341373e-08 
 2.41000000e-04  1.89984049e-09  1.76291903e-01  4.38888753e-02  1.78053388e-08 
 2.42000000e-04  1.93006568e-09  1.77989397e-01  4.40834986e-02  1.79767844e-08 
 2.43000000e-04  1.96054906e-09  1.79689289e-01  4.42762983e-02  1.81484722e-08 
 2.44000000e-04  1.99129091e-09  1.81391562e-01  4.44671751e-02  1.83204004e-08 
 2.45000000e-04  2.02229154e-09  1.83096199e-01  4.46560314e-02  1.84925674e-08 
 2.46000000e-04  2.05355124e-09  1.84803183e-01  4.48427717e-02  1.86649715e-08 
 2.47000000e-04  2.08507029e-09  1.86512498e-01  4.50273035e-02  1.88376109e-08 
 2.48000000e-04  2.11684899e-09  1.88224127e-01  4.52095384e-02  1.90104841e-08 
 2.49000000e-04  2.14888763e-09  1.89938056e-01  4.53893919e-02  1.91835895e-08 
 2.50000000e-04  2.18118650e-09  1.91654268e-01  4.55667849e-02  1.93569255e-08 
 2.51000000e-04  2.21374587e-09  1.93372749e-01  4.57416439e-02  1.95304907e-08 
 2.52000000e-04  2.24656604e-09  1.95093485e-01  4.59139013e-02  1.97042834e-08 
 2.53000000e-04  2.27964728e-09  1.96816459e-01  4.60834965e-02  1.98783024e-08 
 2.54000000e-04  2.31298988e-09  1.98541660e-01  4.62503757e-02  2.00525461e-08 
 2.55000000e-04  2.34659411e-09  2.00269072e-01  4.64144924e-02  2.02270132e-08 
 2.56000000e-04  2.38046025e-09  2.01998682e-01  4.65758076e-02  2.04017024e-08 
 2.57000000e-04  2.41458858e-09  2.03730478e-01  4.67342899e-02  2.05766122e-08 
 2.58000000e-04  2.44897938e-09  2.05464446e-01  4.68899155e-02  2.07517413e-08 
 2.59000000e-04  2.48363291e-09  2.07200573e-01  4.70426681e-02  2.09270886e-08 
 2.60000000e-04  2.51854945e-09  2.08938847e-01  4.71925389e-02  2.11026526e-08 
 2.61000000e-04  2.55372927e-09  2.10679256e-01  4.73395260e-02  2.12784323e-08 
 2.62000000e-04  2.58917264e-09  2.12421788e-01  4.74836343e-02  2.14544264e-08 
 2.63000000e-04  2.62487982e-09  2.14166431e-01  4.76248755e-02  2.16306337e-08 
 2.64000000e-04  2.66085109e-09  2.15913173e-01  4.77632670e-02  2.18070530e-08 
 2.65000000e-04  2.69708671e-09  2.17662004e-01  4.78988319e-02  2.19836832e-08 
 2.66000000e-04  2.73358695e-09  2.19412913e-01  4.80315987e-02  2.21605233e-08 
 2.67000000e-04  2.77035206e-09  2.21165888e-01  4.81616003e-02  2.23375720e-08 
 2.68000000e-04  2.80738231e-09  2.22920919e-01  4.82888740e-02  2.25148283e-08 
 2.69000000e-04  2.84467796e-09  2.24677995e-01  4.84134607e-02  2.26922913e-08 
 2.70000000e-04  2.88223927e-09  2.26437106e-01  4.85354045e-02  2.28699597e-08 
 2.71000000e-04  2.92006650e-09  2.28198243e-01  4.86547526e-02  2.30478327e-08 
 2.72000000e-04  2.95815991e-09  2.29961395e-01  4.87715541e-02  2.32259092e-08 
 2.73000000e-04  2.99651975e-09  2.31726553e-01  4.88858606e-02  2.34041883e-08 
 2.74000000e-04  3.03514628e-09  2.33493706e-01  4.89977248e-02  2.35826689e-08 
 2.75000000e-04  3.07403975e-09  2.35262847e-01  4.91072007e-02  2.37613502e-08 
 2.76000000e-04  3.11320041e-09  2.37033965e-01  4.92143434e-02  2.39402312e-08 
