 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  1.19999998e+01 -7.00313214e-07  5.18776596e-05 -4.10731170e-07 
 1.14000000e-04  4.76717404e+00  2.52819832e+00  3.58705939e-01 -4.65497990e+01 
 1.15000000e-04  4.70043137e+00  2.52449998e+00  3.58213539e-01 -4.64120050e+01 
 1.16000000e-04  4.63401850e+00  2.52053309e+00  3.57685327e-01 -4.62689904e+01 
 1.17000000e-04  4.56794094e+00  2.51630217e+00  3.57121908e-01 -4.61208538e+01 
 1.18000000e-04  4.50220410e+00  2.51181177e+00  3.56523885e-01 -4.59676932e+01 
 1.19000000e-04  4.43681322e+00  2.50706636e+00  3.55891858e-01 -4.58096062e+01 
 1.20000000e-04  4.37177343e+00  2.50207043e+00  3.55226423e-01 -4.56466894e+01 
 1.21000000e-04  4.30708972e+00  2.49682836e+00  6.11323494e-02 -4.54790390e+01 
 1.22000000e-04  4.24276697e+00  2.49134464e+00  6.09065305e-02 -4.53067503e+01 
 1.23000000e-04  4.17880991e+00  2.48562366e+00  6.08998122e-02 -4.51299181e+01 
 1.24000000e-04  4.11522316e+00  2.47966978e+00  6.08928141e-02 -4.49486364e+01 
 1.25000000e-04  4.05201120e+00  2.47348732e+00  6.08855275e-02 -4.47629987e+01 
 1.26000000e-04  3.98917840e+00  2.46708059e+00  6.08779550e-02 -4.45730975e+01 
 1.27000000e-04  3.92672900e+00  2.46045386e+00  6.08700992e-02 -4.43790250e+01 
 1.28000000e-04  3.86466712e+00  2.45361139e+00  6.08619629e-02 -4.41808725e+01 
 1.29000000e-04  3.80299676e+00  2.44655741e+00  6.08535484e-02 -4.39787304e+01 
 1.30000000e-04  3.74172180e+00  2.43929609e+00  6.08448582e-02 -4.37726888e+01 
 1.31000000e-04  3.68084599e+00  2.43183162e+00  6.08358946e-02 -4.35628368e+01 
 1.32000000e-04  3.62037298e+00  2.42416811e+00  6.08266599e-02 -4.33492630e+01 
 1.33000000e-04  3.56030630e+00  2.41630969e+00  6.08171563e-02 -4.31320549e+01 
 1.34000000e-04  3.50064936e+00  2.40826042e+00  6.08073859e-02 -4.29112999e+01 
 1.35000000e-04  3.44140546e+00  2.40002435e+00  6.07973507e-02 -4.26870840e+01 
 1.36000000e-04  3.38257778e+00  2.39160550e+00  6.07870529e-02 -4.24594931e+01 
 1.37000000e-04  3.32416940e+00  2.38300785e+00  6.07764943e-02 -4.22286118e+01 
 1.38000000e-04  3.26618328e+00  2.37423535e+00  6.07656768e-02 -4.19945245e+01 
 1.39000000e-04  3.20862228e+00  2.36529195e+00  6.07546022e-02 -4.17573144e+01 
 1.40000000e-04  3.15148915e+00  2.35618151e+00  6.07432723e-02 -4.15170644e+01 
 1.41000000e-04  3.09478651e+00  2.34690792e+00  6.07316888e-02 -4.12738562e+01 
 1.42000000e-04  3.03851691e+00  2.33747500e+00  6.07198534e-02 -4.10277712e+01 
 1.43000000e-04  2.98268278e+00  2.32788655e+00  6.07077676e-02 -4.07788899e+01 
 1.44000000e-04  2.92728644e+00  2.31814634e+00  6.06954331e-02 -4.05272918e+01 
 1.45000000e-04  2.87233011e+00  2.30825811e+00  6.06828512e-02 -4.02730561e+01 
 1.46000000e-04  2.81781593e+00  2.29822557e+00  6.06700235e-02 -4.00162610e+01 
 1.47000000e-04  2.76374590e+00  2.28805238e+00  6.06569514e-02 -3.97569839e+01 
 1.48000000e-04  2.71012196e+00  2.27774220e+00  6.06436362e-02 -3.94953016e+01 
 1.49000000e-04  2.65694592e+00  2.26729863e+00  6.06300791e-02 -3.92312901e+01 
 1.50000000e-04  2.60421863e+00  2.25672547e+00  6.06162820e-02 -3.89650283e+01 
 1.51000000e-04  2.55194350e+00  2.24602581e+00  6.06022452e-02 -3.86965832e+01 
 1.52000000e-04  2.50012119e+00  2.23520342e+00  6.05879702e-02 -3.84260325e+01 
 1.53000000e-04  2.44875314e+00  2.22426176e+00  6.05734582e-02 -3.81534492e+01 
 1.54000000e-04  2.39784070e+00  2.21320428e+00  6.05587103e-02 -3.78789054e+01 
 1.55000000e-04  2.34738514e+00  2.20203441e+00  6.05437275e-02 -3.76024726e+01 
 1.56000000e-04  2.29738763e+00  2.19075552e+00  6.05285109e-02 -3.73242217e+01 
 1.57000000e-04  2.24784926e+00  2.17937097e+00  6.05130614e-02 -3.70442225e+01 
 1.58000000e-04  2.19877102e+00  2.16788408e+00  6.04973799e-02 -3.67625444e+01 
 1.59000000e-04  2.15015382e+00  2.15629813e+00  6.04814673e-02 -3.64792559e+01 
 1.60000000e-04  2.10199850e+00  2.14461638e+00  6.04653245e-02 -3.61944246e+01 
 1.61000000e-04  2.05430579e+00  2.13284205e+00  6.04489524e-02 -3.59081175e+01 
 1.62000000e-04  2.00707636e+00  2.12097833e+00  6.04323516e-02 -3.56204010e+01 
 1.63000000e-04  1.96031077e+00  2.10902838e+00  6.04155229e-02 -3.53313404e+01 
 1.64000000e-04  1.91400954e+00  2.09699531e+00  6.03984671e-02 -3.50410006e+01 
 1.65000000e-04  1.86817306e+00  2.08488223e+00  6.03811848e-02 -3.47494455e+01 
 1.66000000e-04  1.82280169e+00  2.07269219e+00  6.03636766e-02 -3.44567383e+01 
 1.67000000e-04  1.77789568e+00  2.06042821e+00  6.03459432e-02 -3.41629416e+01 
 1.68000000e-04  1.73345522e+00  2.04809328e+00  6.03279852e-02 -3.38681172e+01 
 1.69000000e-04  1.68948041e+00  2.03569037e+00  6.03098030e-02 -3.35723260e+01 
 1.70000000e-04  1.64597129e+00  2.02322241e+00  6.02913973e-02 -3.32756283e+01 
 1.71000000e-04  1.60292783e+00  2.01069228e+00  6.02727684e-02 -3.29780836e+01 
 1.72000000e-04  1.56034990e+00  1.99810286e+00  6.02539169e-02 -3.26797508e+01 
 1.73000000e-04  1.51823734e+00  1.98545696e+00  6.02348431e-02 -3.23806878e+01 
 1.74000000e-04  1.47658989e+00  1.97275738e+00  6.02155474e-02 -3.20809521e+01 
 1.75000000e-04  1.43540723e+00  1.96000690e+00  6.01960303e-02 -3.17806002e+01 
 1.76000000e-04  1.39468897e+00  1.94720824e+00  6.01762919e-02 -3.14796879e+01 
 1.77000000e-04  1.35443465e+00  1.93436409e+00  6.01563327e-02 -3.11782703e+01 
 1.78000000e-04  1.31464376e+00  1.92147714e+00  6.01361529e-02 -3.08764020e+01 
 1.79000000e-04  1.27531572e+00  1.90855000e+00  6.01157527e-02 -3.05741364e+01 
 1.80000000e-04  1.23644986e+00  1.89558529e+00  6.00951323e-02 -3.02715267e+01 
 1.81000000e-04  1.19804549e+00  1.88258557e+00  6.00742919e-02 -2.99686249e+01 
 1.82000000e-04  1.16010183e+00  1.86955338e+00  6.00532318e-02 -2.96654827e+01 
 1.83000000e-04  1.12261804e+00  1.85649123e+00  6.00319519e-02 -2.93621508e+01 
 1.84000000e-04  1.08559323e+00  1.84340159e+00  6.00104524e-02 -2.90586793e+01 
 1.85000000e-04  1.04902646e+00  1.83028690e+00  5.99887334e-02 -2.87551175e+01 
 1.86000000e-04  1.01291671e+00  1.81714957e+00  5.99667949e-02 -2.84515142e+01 
 1.87000000e-04  9.77262914e-01  1.80399199e+00  5.99446370e-02 -2.81479172e+01 
 1.88000000e-04  9.42063956e-01  1.79081649e+00  5.99222595e-02 -2.78443739e+01 
 1.89000000e-04  9.07318659e-01  1.77762539e+00  5.98996625e-02 -2.75409307e+01 
 1.90000000e-04  8.73025793e-01  1.76442098e+00  5.98768460e-02 -2.72376336e+01 
 1.91000000e-04  8.39184077e-01  1.75120551e+00  5.98538098e-02 -2.69345276e+01 
 1.92000000e-04  8.05792179e-01  1.73798120e+00  5.98305537e-02 -2.66316574e+01 
 1.93000000e-04  7.72848713e-01  1.72475024e+00  5.98070778e-02 -2.63290666e+01 
 1.94000000e-04  7.40352247e-01  1.71151478e+00  5.97833817e-02 -2.60267983e+01 
 1.95000000e-04  7.08301298e-01  1.69827697e+00  5.97594653e-02 -2.57248951e+01 
 1.96000000e-04  6.76694337e-01  1.68503888e+00  5.97353284e-02 -2.54233985e+01 
 1.97000000e-04  6.45529785e-01  1.67180260e+00  5.97109706e-02 -2.51223498e+01 
 1.98000000e-04  6.14806022e-01  1.65857016e+00  5.96863918e-02 -2.48217892e+01 
 1.99000000e-04  5.84521377e-01  1.64534356e+00  5.96615917e-02 -2.45217566e+01 
 2.00000000e-04  5.54674140e-01  1.63212478e+00  5.96365698e-02 -2.42222910e+01 
 2.01000000e-04  5.25262556e-01  1.61891576e+00  5.96113259e-02 -2.39234308e+01 
 2.02000000e-04  4.96284826e-01  1.60571843e+00  5.95858595e-02 -2.36252137e+01 
 2.03000000e-04  4.67739113e-01  1.59253466e+00  5.95601703e-02 -2.33276769e+01 
 2.04000000e-04  4.39623536e-01  1.57936631e+00  5.95342578e-02 -2.30308568e+01 
