 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00  5.10499956e+00 -3.66748881e-07  4.12063282e-05 -6.03707454e-07 
 1.47000000e-04  1.22498788e+00  1.07823435e+00  5.89249679e-02 -1.58688427e+01 
 1.48000000e-04  1.20361912e+00  1.07455884e+00  5.89148043e-02 -1.57543968e+01 
 1.49000000e-04  1.18244689e+00  1.07082296e+00  5.89044332e-02 -1.56390579e+01 
 1.50000000e-04  1.16147171e+00  1.06702822e+00  5.88938566e-02 -1.55228584e+01 
 1.51000000e-04  1.14069410e+00  1.06317612e+00  5.88830763e-02 -1.54058302e+01 
 1.52000000e-04  1.12011451e+00  1.05926815e+00  5.88720943e-02 -1.52880048e+01 
 1.53000000e-04  1.09973297e+00  1.05530586e+00  5.88609125e-02 -1.51694146e+01 
 1.54000000e-04  1.07955067e+00  1.05129053e+00  5.88495322e-02 -1.50500882e+01 
 1.55000000e-04  1.05956754e+00  1.04722371e+00  5.88379555e-02 -1.49300573e+01 
 1.56000000e-04  1.03978389e+00  1.04310683e+00  5.88261839e-02 -1.48093521e+01 
 1.57000000e-04  1.02020001e+00  1.03894131e+00  5.88142194e-02 -1.46880024e+01 
 1.58000000e-04  1.00081612e+00  1.03472855e+00  5.88020634e-02 -1.45660379e+01 
 1.59000000e-04  9.81632409e-01  1.03046995e+00  5.87897177e-02 -1.44434877e+01 
 1.60000000e-04  9.62649054e-01  1.02616690e+00  5.87771838e-02 -1.43203807e+01 
 1.61000000e-04  9.43866175e-01  1.02182075e+00  5.87644634e-02 -1.41967454e+01 
 1.62000000e-04  9.25283864e-01  1.01743287e+00  5.87515581e-02 -1.40726099e+01 
 1.63000000e-04  9.06902178e-01  1.01300459e+00  5.87384693e-02 -1.39480021e+01 
 1.64000000e-04  8.88721141e-01  1.00853725e+00  5.87251986e-02 -1.38229495e+01 
 1.65000000e-04  8.70740743e-01  1.00403215e+00  5.87117475e-02 -1.36974793e+01 
 1.66000000e-04  8.52960941e-01  9.99490606e-01  5.86981175e-02 -1.35716183e+01 
 1.67000000e-04  8.35381660e-01  9.94913896e-01  5.86843101e-02 -1.34453930e+01 
 1.68000000e-04  8.18002792e-01  9.90303298e-01  5.86703266e-02 -1.33188296e+01 
 1.69000000e-04  8.00824201e-01  9.85660072e-01  5.86561686e-02 -1.31919539e+01 
 1.70000000e-04  7.83845717e-01  9.80985466e-01  5.86418373e-02 -1.30647913e+01 
 1.71000000e-04  7.67067140e-01  9.76280714e-01  5.86273343e-02 -1.29373672e+01 
 1.72000000e-04  7.50488241e-01  9.71547037e-01  5.86126610e-02 -1.28097062e+01 
 1.73000000e-04  7.34108762e-01  9.66785643e-01  5.85978186e-02 -1.26818329e+01 
 1.74000000e-04  7.17928414e-01  9.61997725e-01  5.85828085e-02 -1.25537714e+01 
 1.75000000e-04  7.01946883e-01  9.57184463e-01  5.85676320e-02 -1.24255457e+01 
 1.76000000e-04  6.86163823e-01  9.52347026e-01  5.85522906e-02 -1.22971792e+01 
 1.77000000e-04  6.70578863e-01  9.47486567e-01  5.85367854e-02 -1.21686951e+01 
 1.78000000e-04  6.55191605e-01  9.42604225e-01  5.85211179e-02 -1.20401162e+01 
 1.79000000e-04  6.40001624e-01  9.37701129e-01  5.85052892e-02 -1.19114652e+01 
 1.80000000e-04  6.25008468e-01  9.32778391e-01  5.84893007e-02 -1.17827642e+01 
 1.81000000e-04  6.10211662e-01  9.27837113e-01  5.84731536e-02 -1.16540350e+01 
 1.82000000e-04  5.95610702e-01  9.22878380e-01  5.84568492e-02 -1.15252994e+01 
 1.83000000e-04  5.81205062e-01  9.17903267e-01  5.84403888e-02 -1.13965785e+01 
 1.84000000e-04  5.66994191e-01  9.12912835e-01  5.84237736e-02 -1.12678933e+01 
 1.85000000e-04  5.52977515e-01  9.07908129e-01  5.84070048e-02 -1.11392643e+01 
 1.86000000e-04  5.39154435e-01  9.02890185e-01  5.83900837e-02 -1.10107120e+01 
 1.87000000e-04  5.25524331e-01  8.97860022e-01  5.83730114e-02 -1.08822562e+01 
 1.88000000e-04  5.12086559e-01  8.92818649e-01  5.83557893e-02 -1.07539166e+01 
 1.89000000e-04  4.98840453e-01  8.87767059e-01  5.83384186e-02 -1.06257126e+01 
 1.90000000e-04  4.85785326e-01  8.82706234e-01  5.83209004e-02 -1.04976633e+01 
 1.91000000e-04  4.72920471e-01  8.77637143e-01  5.83032359e-02 -1.03697874e+01 
