 time            v(vout)         v(vinf)         v(en)           i(L1)          
 2.80000000e-04  3.23979652e-09  2.44138034e-01  4.96206947e-02  2.46577370e-08 
 2.81000000e-04  3.27970339e-09  2.45918908e-01  4.97170061e-02  2.48376033e-08 
 2.82000000e-04  3.31987220e-09  2.47701708e-01  4.98113172e-02  2.50176640e-08 
 2.83000000e-04  3.36030315e-09  2.49486425e-01  4.99036821e-02  2.51979185e-08 
 2.84000000e-04  3.40099645e-09  2.51273052e-01  4.99941542e-02  2.53783657e-08 
 2.85000000e-04  3.44195230e-09  2.53061580e-01  5.00827858e-02  2.55590051e-08 
 2.86000000e-04  3.48317091e-09  2.54852003e-01  5.01696285e-02  2.57398357e-08 
 2.87000000e-04  3.52465247e-09  2.56644312e-01  5.02547325e-02  2.59208568e-08 
 2.88000000e-04  3.56639720e-09  2.58438500e-01  5.03381471e-02  2.61020678e-08 
 2.89000000e-04  3.60840528e-09  2.60234560e-01  5.04199204e-02  2.62834677e-08 
 2.90000000e-04  3.65067691e-09  2.62032484e-01  5.05000993e-02  2.64650559e-08 
