 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199999975574e+01 -7.003132139972e-07  5.187765956654e-05 -4.107311702199e-07 
 1.200000000000e-04  4.371773426180e+00  2.502070429653e+00  3.552264230186e-01 -4.564668943279e+01 
 1.210000000000e-04  4.307089721124e+00  2.496828356596e+00  6.113234941388e-02 -4.547903898275e+01 
 1.220000000000e-04  4.242766969353e+00  2.491344635689e+00  6.090653052074e-02 -4.530675028037e+01 
 1.230000000000e-04  4.178809910706e+00  2.485623659954e+00  6.089981224005e-02 -4.512991806430e+01 
 1.240000000000e-04  4.115223158635e+00  2.479669777413e+00  6.089281414225e-02 -4.494863639628e+01 
 1.250000000000e-04  4.052011201326e+00  2.473487317736e+00  6.088552747287e-02 -4.476299865610e+01 
 1.260000000000e-04  3.989178402833e+00  2.467080586313e+00  6.087795495956e-02 -4.457309753639e+01 
 1.270000000000e-04  3.926729004231e+00  2.460453861715e+00  6.087009924888e-02 -4.437902503804e+01 
 1.280000000000e-04  3.864667124751e+00  2.453611394620e+00  6.086196290774e-02 -4.418087246592e+01 
 1.290000000000e-04  3.802996762922e+00  2.446557407286e+00  6.085354842544e-02 -4.397873042476e+01 
 1.300000000000e-04  3.741721797714e+00  2.439296093207e+00  6.084485821585e-02 -4.377268881536e+01 
 1.310000000000e-04  3.680845989687e+00  2.431831616853e+00  6.083589461957e-02 -4.356283683079e+01 
 1.320000000000e-04  3.620372982131e+00  2.424168113426e+00  6.082665990594e-02 -4.334926295289e+01 
 1.330000000000e-04  3.560306302218e+00  2.416309688645e+00  6.081715627504e-02 -4.313205494893e+01 
 1.340000000000e-04  3.500649362150e+00  2.408260418536e+00  6.080738585959e-02 -4.291129986831e+01 
 1.350000000000e-04  3.441405460308e+00  2.400024349228e+00  6.079735072680e-02 -4.268708403956e+01 
 1.360000000000e-04  3.382577782409e+00  2.391605496763e+00  6.078705288021e-02 -4.245949306744e+01 
 1.370000000000e-04  3.324169402650e+00  2.383007846908e+00  6.077649426121e-02 -4.222861183016e+01 
 1.380000000000e-04  3.266183284864e+00  2.374235354980e+00  6.076567675084e-02 -4.199452447682e+01 
 1.390000000000e-04  3.208622283676e+00  2.365291945671e+00  6.075460217113e-02 -4.175731442495e+01 
 1.400000000000e-04  3.151489145649e+00  2.356181512892e+00  6.074327228686e-02 -4.151706435822e+01 
