 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199926846611e+01  2.618784163693e-04 -1.004299714660e-04 -1.011861675339e-05 
 1.470000000000e-04  1.382855916781e+00  9.517005088944e-01  5.785626732320e-02 -8.324290318298e+00 
 1.480000000000e-04  1.370484357847e+00  9.437791905641e-01  5.782653878078e-02 -8.295378254326e+00 
 1.490000000000e-04  1.358291544590e+00  9.360175746573e-01  5.779708401815e-02 -8.266240738968e+00 
 1.500000000000e-04  1.346272494980e+00  9.284152742408e-01  5.776791454976e-02 -8.236881137191e+00 
 1.510000000000e-04  1.334422111908e+00  9.209721560791e-01  5.773904304372e-02 -8.207302312959e+00 
 1.520000000000e-04  1.322735159359e+00  9.136883708653e-01  5.771048348512e-02 -8.177506593601e+00 
 1.530000000000e-04  1.311206235144e+00  9.065643882335e-01  5.768225136632e-02 -8.147495728665e+00 
 1.540000000000e-04  1.299829739720e+00  8.996010372047e-01  5.765436390518e-02 -8.117270842421e+00 
 1.550000000000e-04  1.288599840612e+00  8.927995527326e-01  5.762684029841e-02 -8.086832379055e+00 
 1.560000000000e-04  1.277510432001e+00  8.861616289414e-01  5.759970200944e-02 -8.056180039536e+00 
 1.570000000000e-04  1.266555089145e+00  8.796894794712e-01  5.757297309803e-02 -8.025312709021e+00 
 1.580000000000e-04  1.255727017578e+00  8.733859049569e-01  5.754668058957e-02 -7.994228373622e+00 
 1.590000000000e-04  1.245018997468e+00  8.672543669653e-01  5.752085488295e-02 -7.962924025443e+00 
 1.600000000000e-04  1.234423324342e+00  8.612990664963e-01  5.749553018914e-02 -7.931395554996e+00 
 1.610000000000e-04  1.223931748687e+00  8.555250231852e-01  5.747074498271e-02 -7.899637630526e+00 
 1.620000000000e-04  1.213535418987e+00  8.499381482388e-01  5.744654243263e-02 -7.867643564759e+00 
 1.630000000000e-04  1.203224835773e+00  8.445452995018e-01  5.742297075710e-02 -7.835405170965e+00 
 1.640000000000e-04  1.192989828614e+00  8.393543004052e-01  5.740008341209e-02 -7.802912612768e+00 
 1.650000000000e-04  1.182819573552e+00  8.343738956834e-01  5.737793897916e-02 -7.770154255729e+00 
 1.660000000000e-04  1.172702675155e+00  8.296136060122e-01  5.735660056059e-02 -7.737116534011e+00 
 1.670000000000e-04  1.162627343466e+00  8.250834329084e-01  5.733613443467e-02 -7.703783852354e+00 
 1.680000000000e-04  1.152581698943e+00  8.207933586064e-01  5.731660768225e-02 -7.670138551872e+00 
